"","subid","session","scan","site","uniqueid","raw","symlink","reorient","mni","site.name","snr","cnr","fber","efc","qi1","fwhm"
"625","0025177",1,2,24,"NYU_org_0025177_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"630","0025180",1,2,24,"NYU_org_0025180_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"633","0025181",1,2,24,"NYU_org_0025181_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"636","0025182",1,2,24,"NYU_org_0025182_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"1326","0025474",1,1,30,"iacas_beijing_jiang_0025474_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"IACAS",NA,NA,NA,NA,NA,NA
"1808","0025746",1,1,36,"psychswu_chongqing_qiu_0025746_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"SWU 4",NA,NA,NA,NA,NA,NA
"2372","0026000",3,1,39,"xwhcmu_beijing_li_0026000_session_3_anat_1",TRUE,FALSE,TRUE,TRUE,"XHCUMS",NA,NA,NA,NA,NA,NA
"2422","0026014",2,2,40,"MONTREAL_org_0026014_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2426","0026015",2,2,40,"MONTREAL_org_0026015_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2430","0026016",2,2,40,"MONTREAL_org_0026016_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2442","0026018",2,1,42,"UTAH_org_0026018_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2443","0026019",1,1,42,"UTAH_org_0026019_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2452","0026023",2,1,42,"UTAH_org_0026023_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2453","0026024",1,1,42,"UTAH_org_0026024_session_1_anat_1",TRUE,FALSE,TRUE,FALSE,"Utah 1",NA,NA,NA,NA,NA,NA
