"","subject","session","scan"
"1048","0025365",1,1
"1049","0025365",1,2
"1050","0025365",1,3
"1051","0025365",1,4
"1052","0025366",1,1
"1053","0025366",1,2
"1054","0025366",1,3
"1055","0025366",1,4
"1056","0025367",1,1
"1057","0025367",1,2
"1058","0025367",1,3
"1059","0025367",1,4
"1060","0025368",1,1
"1061","0025368",1,2
"1062","0025368",1,3
"1063","0025368",1,4
"1064","0025369",1,1
"1065","0025369",1,2
"1066","0025369",1,3
"1067","0025369",1,4
"1068","0025370",1,1
"1069","0025370",1,2
"1070","0025370",1,3
"1071","0025370",1,4
"1072","0025371",1,1
"1073","0025371",1,2
"1074","0025371",1,3
"1075","0025371",1,4
"1076","0025372",1,1
"1077","0025372",1,2
"1078","0025372",1,3
"1079","0025372",1,4
"1080","0025373",1,1
"1081","0025373",1,2
"1082","0025373",1,3
"1083","0025373",1,4
"1084","0025374",1,1
"1085","0025374",1,2
"1086","0025374",1,3
"1087","0025374",1,4
"1088","0025375",1,1
"1089","0025375",1,2
"1090","0025375",1,3
"1091","0025375",1,4
"1092","0025376",1,1
"1093","0025376",1,2
"1094","0025376",1,3
"1095","0025376",1,4
"1096","0025377",1,1
"1097","0025377",1,2
"1098","0025377",1,3
"1099","0025377",1,4
"1100","0025378",1,1
"1101","0025378",1,2
"1102","0025378",1,3
"1103","0025378",1,4
"1104","0025379",1,1
"1105","0025379",1,2
"1106","0025379",1,3
"1107","0025379",1,4
"1108","0025380",1,1
"1109","0025380",1,2
"1110","0025380",1,3
"1111","0025380",1,4
"1112","0025381",1,1
"1113","0025381",1,2
"1114","0025381",1,3
"1115","0025381",1,4
"1116","0025382",1,1
"1117","0025382",1,2
"1118","0025382",1,3
"1119","0025382",1,4
"1120","0025383",1,1
"1121","0025383",1,2
"1122","0025383",1,3
"1123","0025383",1,4
"1124","0025384",1,1
"1125","0025384",1,2
"1126","0025384",1,3
"1127","0025384",1,4
"1128","0025385",1,1
"1129","0025385",1,2
"1130","0025385",1,3
"1131","0025385",1,4
"1132","0025386",1,1
"1133","0025386",1,2
"1134","0025386",1,3
"1135","0025386",1,4
"1136","0025387",1,1
"1137","0025387",1,2
"1138","0025387",1,3
"1139","0025387",1,4
"1140","0025388",1,1
"1141","0025388",1,2
"1142","0025388",1,3
"1143","0025388",1,4
"1144","0025389",1,1
"1145","0025389",1,2
"1146","0025389",1,3
"1147","0025389",1,4
"1148","0025390",1,1
"1149","0025390",1,2
"1150","0025390",1,3
"1151","0025390",1,4
"1152","0025391",1,1
"1153","0025391",1,2
"1154","0025391",1,3
"1155","0025391",1,4
"1156","0025392",1,1
"1157","0025392",1,2
"1158","0025392",1,3
"1159","0025392",1,4
"1160","0025393",1,1
